mois;pluviometrie
1;4.6
1;1.0
1;13.7
1;15.1
1;20.2
1;0.2
1;0.0
1;0.0
1;0.8
1;4.0
1;3.0
1;0.0
1;0.0
1;0.0
1;3.4
1;11.4
1;5.0
1;9.3
1;2.0
1;10.0
1;22.8
1;28.4
1;0.0
1;0.0
1;7.5
1;15.7
1;0.0
1;0.2
1;0.6
1;0.0
1;34.3
2;0.8
2;2.8
2;0.0
2;0.0
2;1.2
2;0.6
2;2.6
2;0.0
2;1.6
2;0.2
2;3.0
2;0.0
2;0.0
2;1.8
2;13.4
2;3.2
2;18.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;8.1
3;2.4
3;6.7
3;0.8
3;6.1
3;0.0
3;2.6
3;3.8
3;0.0
3;2.0
3;3.8
3;7.6
3;6.0
3;19.6
3;0.2
3;13.1
3;18.5
3;9.3
3;0.0
3;0.0
3;0.0
3;0.0
3;5.2
3;0.0
3;0.0
3;0.0
3;0.4
3;4.0
3;18.4
3;1.8
3;8.9
3;1.2
4;0.0
4;0.0
4;0.0
4;22.7
4;2.6
4;0.0
4;0.0
4;0.0
4;8.3
4;2.2
4;0.0
4;0.0
4;0.0
4;0.4
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;8.9
4;0.0
4;0.0
4;0.0
4;0.0
4;1.6
4;5.6
4;2.2
5;0.0
5;0.0
5;0.4
5;0.0
5;0.0
5;0.0
5;0.0
5;5.5
5;17.8
5;4.0
5;0.0
5;10.5
5;20.6
5;22.2
5;18.7
5;7.6
5;0.0
5;0.0
5;17.8
5;0.0
5;0.0
5;20.0
5;6.3
5;0.0
5;0.0
5;0.2
5;2.8
5;42.9
5;12.9
5;5.8
5;2.4
6;0.0
6;0.0
6;7.7
6;0.0
6;16.0
6;0.0
6;0.2
6;29.7
6;0.0
6;0.0
6;10.7
6;5.5
6;0.0
6;0.0
6;0.0
6;0.0
6;0.2
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
7;0.0
7;0.0
7;4.5
7;1.4
7;7.2
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;2.0
7;0.0
7;0.0
7;0.0
7;0.0
7;6.1
7;0.0
7;0.2
7;0.0
7;0.0
7;0.4
7;0.0
7;0.8
7;0.4
7;0.0
7;0.0
7;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;17.9
8;4.0
8;0.0
8;0.0
8;2.2
8;14.9
8;0.2
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;2.4
8;6.6
8;0.8
8;9.9
8;0.0
8;0.0
8;0.0
8;3.0
8;0.0
8;1.6
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;25.9
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.2
9;0.2
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;9.8
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
10;2.4
10;0.0
10;0.2
10;0.0
10;0.0
10;0.4
10;0.0
10;0.2
10;0.0
10;0.2
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;4.0
10;1.4
10;6.2
10;2.6
10;4.4
10;0.0
11;3.2
11;0.0
11;0.0
11;0.0
11;0.0
11;0.2
11;9.7
11;0.2
11;0.2
11;11.4
11;0.0
11;8.7
11;3.2
11;0.0
11;0.0
11;0.0
11;0.0
11;0.0
11;0.4
11;4.0
11;2.2
11;0.0
11;9.1
11;0.0
11;0.8
11;1.4
11;0.0
11;0.4
11;0.8
11;6.7
12;7.4
12;29.0
12;11.7
12;3.2
12;6.8
12;3.0
12;5.0
12;7.0
12;7.8
12;7.2
12;0.0
12;0.0
12;0.0
12;0.0
12;4.0
12;0.0
12;0.4
12;1.0
12;0.6
12;2.2
12;12.5
12;4.4
12;7.8
12;3.7
12;0.0
12;0.0
12;0.0
12;0.0
12;0.0
12;0.0
12;0.0
