mois;pluviometrie
1;0.0
1;0.2
1;0.0
1;0.6
1;0.0
1;0.0
1;0.4
1;0.0
1;4.4
1;5.9
1;2.8
1;0.6
1;5.6
1;0.6
1;2.4
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;0.0
1;14.5
1;2.5
2;0.0
2;5.4
2;0.2
2;6.8
2;11.6
2;1.0
2;2.6
2;0.0
2;0.0
2;0.0
2;1.6
2;0.0
2;0.0
2;0.0
2;0.0
2;1.2
2;0.0
2;0.0
2;0.0
2;2.4
2;0.0
2;0.0
2;1.2
2;0.2
2;0.0
2;0.0
2;32.3
2;14.7
3;12.5
3;0.0
3;0.0
3;8.1
3;4.4
3;14.6
3;2.6
3;11.1
3;2.2
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;1.0
3;10.5
3;0.0
3;0.0
3;7.7
3;0.0
3;0.2
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
4;0.6
4;0.2
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.2
4;1.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;1.0
4;32.1
4;1.8
4;5.4
4;0.0
4;0.0
4;7.4
5;0.0
5;3.8
5;0.6
5;3.4
5;0.0
5;31.6
5;21.8
5;0.0
5;0.0
5;0.0
5;0.0
5;1.2
5;15.5
5;2.2
5;0.0
5;0.0
5;0.0
5;7.7
5;9.1
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;1.8
6;0.0
6;0.0
6;45.8
6;0.0
6;3.8
6;10.9
6;0.0
6;0.0
6;1.2
6;0.0
6;0.0
6;0.0
6;0.0
6;0.2
6;0.2
6;0.0
6;0.0
6;0.0
6;0.0
6;9.6
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.2
6;0.2
6;4.7
6;2.4
6;6.2
7;13.3
7;0.4
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;2.6
7;9.6
7;18.7
7;1.0
7;0.0
7;3.5
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.2
7;0.4
7;4.5
7;9.5
7;1.6
7;6.6
7;4.2
7;4.7
7;0.0
7;0.0
7;9.6
7;0.0
8;6.1
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;8.9
8;12.1
8;0.8
8;0.0
8;0.8
8;0.0
8;0.0
8;0.0
8;1.8
8;0.0
8;0.0
8;6.7
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;49.8
8;3.6
9;7.3
9;5.7
9;0.0
9;0.0
9;0.0
9;0.6
9;0.0
9;3.2
9;5.8
9;0.2
9;1.4
9;2.8
9;4.2
9;16.6
9;0.0
9;0.0
9;32.4
9;0.6
9;6.6
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.2
9;22.0
9;0.0
9;0.0
9;0.0
9;13.3
10;0.0
10;3.0
10;4.7
10;0.0
10;3.6
10;0.4
10;4.0
10;0.6
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.6
10;4.8
10;6.2
10;0.8
10;0.0
10;0.0
10;0.0
10;1.6
10;0.6
10;2.0
10;0.0
10;0.0
11;0.0
11;0.0
11;0.2
11;7.6
11;4.3
11;0.0
11;0.0
11;0.2
11;0.0
11;2.4
11;16.9
11;28.3
11;2.6
11;0.0
11;0.0
11;0.0
11;0.0
11;1.0
11;0.8
11;0.0
11;0.0
11;0.0
11;0.0
11;30.7
11;12.7
11;0.2
11;0.2
11;19.7
11;0.2
11;4.6
12;0.0
12;0.0
12;0.0
12;0.0
12;0.0
12;0.0
12;18.2
12;1.8
12;1.6
12;16.0
12;0.0
12;0.0
12;6.0
12;15.7
12;3.4
12;1.0
12;3.2
12;2.4
12;0.0
12;2.8
12;0.6
12;2.8
12;0.0
12;0.2
12;0.0
12;3.8
12;6.6
12;1.2
12;11.1
12;4.4
12;4.6
